loannumber,dateapproved,borrowername,borroweraddress,borrowercity,borrowerstate,borrowerzip,loanstatusdate,loanstatus,initialapprovalamount,currentapprovalamount,servicinglendername,jobsreported,naicscode,businesstype,originatinglender,forgivenessamount,forgivenessdate
2136908303,01/20/2021,K-TECH KLEENING SYSTEMS INC.,7710 Technology Dr,Schofield,WI,54476-4508,09/25/2021,Paid in Full,135557,135557,Nicolet National Bank,19,561720,Corporation,Nicolet National Bank,136279.97,08/06/2021
9504808304,01/30/2021,CEDAR ORTHODONTIC SPECIALISTS LLC,4907 Keystone Xing Ste A,Eau Claire,WI,54701-5144,07/10/2021,Paid in Full,135550,135550,Frandsen Bank & Trust,11,621210,Limited  Liability Company(LLC),Frandsen Bank & Trust,136069.92,06/30/2021
6508378310,01/27/2021,HOOLIGAN'S SUPER IRISH DELI & BAR I,2451 N Bartlett Ave,Milwaukee,WI,53211-4302,10/07/2021,Paid in Full,135537,135537,"PNC Bank, National Association",24,722410,Corporation,"PNC Bank, National Association",136444.34,09/28/2021
1123737300,04/28/2020,"BESTWAY TRANSFER AND STORAGE, INC.",701 W. CLEVELAND AVE,MILWAUKEE,WI,53215-3415,03/31/2021,Paid in Full,135525,135525,Citizens Bank,12,484121,Corporation,Citizens Bank,136404.98,12/31/2020
2644898309,01/21/2021,CLAIREWATERS BAR & RESTAURANT LLC,2106 N Clairemont Ave,Eau Claire,WI,54703-2407,09/14/2021,Paid in Full,135520,135520,"Associated Bank, National Association",22,722511,Limited  Liability Company(LLC),"Associated Bank, National Association",136325.69,08/30/2021
6310687209,04/27/2020,EARTHSCAPE ENTERPRISES LLC,2847 LARSEN RD,NEENAH,WI,54956-9501,04/08/2021,Paid in Full,135519,135519,"Associated Bank, National Association",10,561730,Limited  Liability Company(LLC),"Associated Bank, National Association",136699.69,03/15/2021
4390918409,02/06/2021,NIXIT INVESTMENTS LLC,210 W Bayfield St,Washburn,WI,54891-2216,07/14/2022,Paid in Full,135507,135507,"Readycap Lending, LLC",30,722513,Limited  Liability Company(LLC),"Readycap Lending, LLC",137270.45,06/03/2022
7451957706,05/01/2020,MERRY FAMILY DENTISTRY S.C.,309 7TH AVE N,WEST BEND,WI,53095,05/21/2021,Paid in Full,148007,135505,"U.S. Bank, National Association",11,,Subchapter S Corporation,"U.S. Bank, National Association",136758.42,04/19/2021
7202328308,01/28/2021,F.D.S. ENTERPRISES INC.,487 County Road A,Hudson,WI,54016-7554,09/14/2021,Paid in Full,135502,135502,"Associated Bank, National Association",47,485310,Corporation,"Associated Bank, National Association",136214.78,08/11/2021
1644827200,04/15/2020,"APPLE CREEK ORAL SURGERY, S.C.",2410 E. Evergreen Dr.,APPLETON,WI,54913,04/17/2021,Paid in Full,135500,135500,BMO Bank National Association,10,621210,Corporation,BMO Bank National Association,136751.05,03/24/2021
2224198304,01/20/2021,JBD LTD,317 E Wilson St,Madison,WI,53703-3426,11/18/2021,Paid in Full,135500,135500,The Park Bank,14,423210,Corporation,The Park Bank,136498.62,10/19/2021
2231797102,04/10/2020,"THIEL INSURANCE GROUP, LLC",620 N RICHMOND ST,APPLETON,WI,54911-4659,06/04/2021,Paid in Full,135500,135500,American National Bank-Fox Cities,9,524210,Limited  Liability Company(LLC),American National Bank-Fox Cities,136903.26,05/04/2021
2455287101,04/10/2020,LOOMIS ENZYMES LLC,6421 ENTERPRISE LN,MADISON,WI,53719-1116,05/13/2021,Paid in Full,135500,135500,"Associated Bank, National Association",8,311119,Limited  Liability Company(LLC),"Associated Bank, National Association",136803.03,04/01/2021
2944687104,04/11/2020,"BELLA DOMICILE, INC.",6210 NESBITT RD,MADISON,WI,53719-1819,04/13/2021,Paid in Full,135500,135500,Old National Bank,10,423310,Corporation,Old National Bank,136695.37,03/11/2021
4798627108,04/13/2020,NEW TRANSPORTATION GROUP LLC,6625 NORTHWEST HWY,WATERFORD,WI,53185-2326,04/08/2021,Paid in Full,135500,135500,"Associated Bank, National Association",16,484110,Limited  Liability Company(LLC),"Associated Bank, National Association",136751.05,03/18/2021
5732767008,04/06/2020,"JNLB, INC",519 ELM ST,RIVER FALLS,WI,54022-2314,03/11/2021,Paid in Full,135500,135500,Peoples State Bank of Plainview,49,999990,Subchapter S Corporation,Peoples State Bank of Plainview,136647.11,02/17/2021
6732547104,04/14/2020,INDUSTRIAL TOOL & PLASTICS INC,529 BLANDING WOODS RD,SAINT CROIX FALLS,WI,54024,02/10/2021,Paid in Full,135500,135500,MidWestOne Bank,14,326199,Corporation,MidWestOne Bank,136456.03,12/31/2020
6774727010,04/07/2020,CEDAR ORTHODONTIC SPECIALISTS LLC,4907 KEYSTONE XING,EAU CLAIRE,WI,54701-5144,03/13/2021,Paid in Full,135500,135500,Frandsen Bank & Trust,11,621210,Limited  Liability Company(LLC),Frandsen Bank & Trust,136438.62,02/16/2021
6781107108,04/14/2020,"LUISIER PLUMBING, INC.",4623 Goodwin Road,MANITOWOC,WI,54221-1167,12/08/2020,Paid in Full,135500,135500,Bank of Ann Arbor,12,238220,Corporation,Nicolet National Bank,136298.15,11/23/2020
6758308303,01/27/2021,DAVID J. WANSERSKI DDS MS SC,550 N 17th Ave,Wausau,WI,54401-2901,07/08/2021,Paid in Full,135482,135482,"Associated Bank, National Association",14,621210,Corporation,"Associated Bank, National Association",136031.35,06/30/2021
8885908406,02/14/2021,TOP BRANDS INC.,1349 Planeview Dr Ste 5,Oshkosh,WI,54904-9143,11/19/2021,Paid in Full,135480,135480,"JPMorgan Chase Bank, National Association",15,424990,Corporation,"JPMorgan Chase Bank, National Association",136302.44,09/29/2021
9143097204,04/28/2020,"ACCELITY MVI ACQUISITION, LLC",229 East Wisconsin Avenue,Milwaukee,WI,53202,06/08/2021,Paid in Full,135477,135477,Celtic Bank Corporation,15,812990,Limited  Liability Company(LLC),Celtic Bank Corporation,136880.02,05/13/2021
8443798402,02/13/2021,VAN GO TAXI INC.,105 E 2nd St,Waunakee,WI,53597-1441,07/08/2021,Paid in Full,135475,135475,"Associated Bank, National Association",23,485310,Subchapter S Corporation,"Associated Bank, National Association",135909.26,06/15/2021
5363427102,04/13/2020,"DELAVAN LAKES VETERINARY CLINIC, S.C.",1107 ANN ST,DELAVAN,WI,53115-1981,04/17/2021,Paid in Full,135452.5,135452,BMO Bank National Association,15,541940,Corporation,BMO Bank National Association,136695.19,03/31/2021
6802918307,01/27/2021,JONES' BLACK ANGUS LLC,37640 US Highway 18,Prairie du Chien,WI,53821-8425,09/18/2021,Paid in Full,135429,135429,Peoples State Bank,30,722511,Corporation,Peoples State Bank,136170.1,08/13/2021
1283387105,04/10/2020,"PSA LABORATORY FURNITURE, LLC",2100 S. Calhoun Rd,NEW BERLIN,WI,53151-2218,06/05/2021,Paid in Full,135400,135400,National Exchange Bank and Trust,9,423990,Limited  Liability Company(LLC),National Exchange Bank and Trust,136820.77,05/05/2021
4849507010,04/04/2020,COPPER STATE BREWERY LLC,313 DOUSMAN ST,GREEN BAY,WI,54303-2713,02/16/2021,Paid in Full,135400,135400,Nicolet National Bank,37,312120,Limited  Liability Company(LLC),Nicolet National Bank,136501.75,01/29/2021
5228407202,04/27/2020,WAUSAU FLYING SERVICE INC.,725 Woods Place,WAUSAU,WI,54403,01/21/2021,Paid in Full,135400,135400,IncredibleBank,12,611512,Corporation,IncredibleBank,136253.21,12/17/2020
5626087001,04/06/2020,"DAVID J. WANSERSKI, D.D.S., M.S., S.C.",550 N 17TH AVE,WAUSAU,WI,54401-2901,12/15/2020,Paid in Full,135400,135400,"Associated Bank, National Association",14,621210,Corporation,"Associated Bank, National Association",136227.02,02/16/2021
7621477000,04/07/2020,"ZIMBAL FARMS, INC",6020 Wilson Lima Road,OOSTBURG,WI,53070-1923,02/10/2021,Paid in Full,128800,135400,"Bank First, N.A.",11,112930,Subchapter S Corporation,"Bank First, N.A.",136396.69,01/08/2021
8703497102,04/15/2020,"WICKS WOOD FLOORS, INC.",807 W COLLEGE AVE,WAUKESHA,WI,53186-5915,05/20/2021,Paid in Full,135400,135400,Waukesha State Bank,15,238330,Corporation,Waukesha State Bank,136702.07,04/09/2021
9717597005,04/09/2020,LIFT-X LIFT SERVICES LLC,0 N4134 State Road 57,Waldo,WI,53093-1423,12/19/2020,Paid in Full,135400,135400,Kohler CU,10,811310,Limited  Liability Company(LLC),Kohler CU,136163.51,11/03/2020
5025728309,01/23/2021,FORZA5 LLC,3401 14th St,Kenosha,WI,53144-2978,08/21/2021,Paid in Full,135359,135359,"State Bank of the Lakes, National Association",21,722511,Limited  Liability Company(LLC),"State Bank of the Lakes, National Association",136017,07/27/2021
7611087204,04/28/2020,"TEAM ENGINEERING, INC.",118 E. Main Street,Reedsburg,WI,53959-1936,02/09/2021,Paid in Full,135321,135321,Westby Co-op CU,8,541330,Subchapter S Corporation,Westby Co-op CU,136091.58,11/23/2020
1852838803,04/11/2021,S & J AUTO SALES LLC,101 Skyline Dr,Arlington,WI,53911-9521,09/25/2021,Paid in Full,135300,135300,Cross River Bank,10,484110,Subchapter S Corporation,Cross River Bank,135770.77,08/18/2021
2449177107,04/10/2020,"SEIFERT ELECTRIC, INC.",3508 NORTH RD,MOSINEE,WI,54455-8216,12/18/2020,Paid in Full,135300,135300,IncredibleBank,10,238210,Corporation,IncredibleBank,136037.66,11/03/2020
2736047106,04/11/2020,BOYS & GIRLS CLUBS OF SHEBOYGAN COUNTY INC,107 CEDAR ST,SHEBOYGAN FALLS,WI,53085-1552,02/04/2021,Paid in Full,135300,135300,"Bank First, N.A.",6,624110,Non-Profit Organization,Bank First NA,136295.96,01/08/2021
3808669003,05/20/2021,S & J AUTO SALES LLC,101 Skyline Dr # 1W123,Arlington,WI,53911-9521,11/20/2021,Paid in Full,135300,135300,Customers Bank,10,484110,Subchapter S Corporation,"Leader Bank, National Association",135789.3,11/03/2021
8427247100,04/15/2020,"HOFMEISTER INSURANCE AGENCY, INC",806 WATER AVE,HILLSBORO,WI,54634-6213,12/15/2020,Paid in Full,135300,135300,Royal Bank,13,524210,Corporation,Royal Bank,136036.63,11/03/2020
8475837007,04/08/2020,"SUMMIT ADJUSTING SERVICE, INC.",4330 Golf Terrace Suite 105,EAU CLAIRE,WI,54701-2693,07/15/2021,Paid in Full,135300,135300,Royal CU,13,524291,Corporation,Royal CU,136844.67,06/03/2021
8476758310,01/29/2021,SUMMIT ADJUSTING SERVICE INC.,4330 Golf Ter Ste 105,Eau Claire,WI,54701-7984,10/16/2021,Paid in Full,135300,135300,Royal CU,9,524291,Corporation,Royal CU,136145.62,09/20/2021
4924748303,01/23/2021,PURSUING HAPPINESS LLC,2249 Glen Oaks Cir,Cottage Grove,WI,53527-9218,07/17/2021,Paid in Full,135262.5,135262.5,Lake Ridge Bank,33,484210,Limited  Liability Company(LLC),Lake Ridge Bank,135781.32,06/15/2021
9681237206,04/28/2020,VAN STRYDONK CONSTRUCTION LLC,N10928 COUNTY ROAD A,TOMAHAWK,WI,54487-8408,02/09/2021,Paid in Full,135255,135255,"Associated Bank, National Association",10,236115,Limited  Liability Company(LLC),"Associated Bank, National Association",136236.99,01/20/2021
8054158808,04/22/2021,MACBEEBS LLC,W62 N238 Washington Ave,Cedarburg,WI,53012,06/10/2022,Paid in Full,135246.09,135246.09,"Bank First, N.A.",18,722511,Limited Liability Partnership,"Bank First, N.A.",136711.26,05/26/2022
8702658608,03/25/2021,LAWRENCE SCHOOL INC,3011 Saylesville Rd,Waukesha,WI,53189-6628,04/14/2022,Paid in Full,135242.5,135242.5,Citizens Bank,39,624410,Corporation,Citizens Bank,136524.52,03/08/2022
