loannumber,dateapproved,borrowername,borroweraddress,borrowercity,borrowerstate,borrowerzip,loanstatusdate,loanstatus,initialapprovalamount,currentapprovalamount,servicinglendername,jobsreported,naicscode,businesstype,originatinglender,forgivenessamount,forgivenessdate
2977198505,02/22/2021,PERSEPHONE PRODUCTIONS INCORPORATED,3812 Lakeview Ter,Falls Church,VA,22041-1313,01/12/2022,Paid in Full,68095,68095,"Wells Fargo Bank, National Association",4,512110,Corporation,"Wells Fargo Bank, National Association",68580.06,12/01/2021
3827467201,04/27/2020,EAT PESCADOS INC,13124 Midlothian Turnpike,MIDLOTHIAN,VA,23113,07/10/2021,Paid in Full,68082,68082,Citizens and Farmers Bank,20,445299,Limited  Liability Company(LLC),Citizens and Farmers Bank,68854.22,06/17/2021
6029558504,03/02/2021,INTERNATIONAL CHIROPRACTORS ASSOCIATION INC,6400 Arlington Blvd 6400 Arlington Blvd,Falls Church,VA,22042-2325,12/09/2021,Paid in Full,68070,68070,"PNC Bank, National Association",6,813920,501(c)6 ¿ Non Profit Membership,"PNC Bank, National Association",68552.16,11/16/2021
3952578303,01/22/2021,PRIME TIME BASEBALL LLC,5380 Eisenhower Ave,Alexandria,VA,22304-4818,09/08/2022,Paid in Full,68062,68062,Trustar Bank,5,611620,Limited  Liability Company(LLC),Trustar Bank,69128.62,08/31/2022
9517628504,03/12/2021,JASON K HONG DMD PC,12359 Sunrise Valley Dr Ste 250,Reston,VA,20191-3494,02/19/2022,Paid in Full,68057,68057,Itria Ventures LLC,8,621210,Corporation,Itria Ventures LLC,68618.47,01/25/2022
8035497302,05/01/2020,STEVEN E AMBURGEY DDS PLLC,26114 LEE HWY,ABINGDON,VA,24211-7502,05/19/2021,Paid in Full,68056,68056,Truist Bank,7,621210,Limited  Liability Company(LLC),Truist Bank,68696.86,04/19/2021
4373237201,04/27/2020,"CHECKMATE, INC.",18281 Forest Road,LYNCHBURG,VA,24502,01/20/2021,Paid in Full,68054,68054,First National Bank,7,531210,Corporation,First National Bank,68494.46,12/22/2020
4751128306,01/23/2021,INTEGRITY CUSTOM BUILDERS LLC,1866 E Market St Ste C,Harrisonburg,VA,22801-5111,08/07/2021,Paid in Full,68052,68052,Farmers & Merchants Bank,5,236118,Limited  Liability Company(LLC),Farmers & Merchants Bank,68367.69,07/13/2021
5220448401,02/08/2021,SAGE - BWF LLC,1651 Old Meadow Rd Ste 500,Mc Lean,VA,22102-4321,09/22/2021,Paid in Full,68051,68051,"Bank of America, National Association",4,541820,Limited  Liability Company(LLC),"Bank of America, National Association",68399.64,08/18/2021
3648368501,02/24/2021,COLONNADE CLUB,7 West Lawn University Of Virginia,Charlottesville,VA,22903-3201,11/18/2021,Paid in Full,68045,68045,"Bank of America, National Association",4,611310,Non-Profit Organization,"Bank of America, National Association",68498.01,10/27/2021
